iter	RMSE
0	215.5723175
1	208.0631837
2	201.5446293
3	194.8215818
4	188.7483437
5	182.443089
6	176.9950397
7	171.2850321
8	166.2964834
9	161.0678145
10	157.2083894
11	152.6122622
12	147.9905666
13	144.6686159
14	140.7314453
15	136.9604926
16	133.5126263
17	129.8853712
18	126.4409939
19	123.2553732
20	120.6313819
21	117.7720948
22	115.13002
23	112.5397983
24	110.1546447
25	107.9557476
26	105.3404229
27	103.2252612
28	101.1402811
29	98.80693535
30	96.6640975
31	94.62215402
32	92.74506837
33	91.36476056
34	90.11367948
35	88.46486472
36	86.88577751
37	85.39223633
38	84.24521077
39	82.87644441
40	81.87889793
41	80.70364661
42	79.748449
43	78.73385324
44	77.73667366
45	76.73786423
46	75.90914664
47	75.09575909
48	74.24101149
49	73.56630185
50	72.90342137
51	72.30279789
52	71.62990652
53	71.0364389
54	70.32676863
55	69.66804299
56	69.22709705
57	68.73069969
58	68.19824585
59	67.74687565
60	67.17692645
61	66.85112969
62	66.33058152
63	65.85459857
64	65.48192133
65	65.15460093
66	64.73237612
67	64.43966804
68	64.02729635
69	63.57013644
70	63.18542838
71	62.8717298
72	62.56756301
73	62.20760495
74	61.8336537
75	61.47202051
76	61.19997737
77	60.95305797
78	60.72191616
79	60.40240791
80	60.14236142
81	59.91297662
82	59.69305142
83	59.43994707
84	59.14124512
85	58.9115792
86	58.7371363
87	58.47239448
88	58.23137499
89	58.10796668
90	57.85807712
91	57.61096373
92	57.42720297
93	57.15171313
94	56.9351789
95	56.73237382
96	56.60802843
97	56.43750918
98	56.12421393
99	55.98255266
100	55.81640596
101	55.61356973
102	55.45674515
103	55.30742343
104	55.20121104
105	55.03675626
106	54.89612411
107	54.75927821
108	54.53227833
109	54.37658151
110	54.19116741
111	54.05739823
112	53.82813054
113	53.55990035
114	53.3577029
115	53.12018556
116	52.9966901
117	52.91763796
118	52.7894384
119	52.6637745
120	52.50208784
121	52.38107069
122	52.29271078
123	52.11888945
124	52.00804922
125	51.66761432
126	51.57109097
127	51.42443953
128	51.3215383
129	51.21852234
130	51.06035652
131	50.91566856
132	50.81296401
133	50.67319817
134	50.57127061
135	50.39082123
136	50.21466625
137	50.0509324
138	49.96168392
139	49.84481965
140	49.77594538
141	49.66874879
142	49.48929312
143	49.34634365
144	49.26669783
145	49.10045733
146	49.00403231
147	48.91136747
148	48.82449729
149	48.71667511
150	48.57736706
151	48.43762963
152	48.24517325
153	48.09568297
154	48.02446769
155	47.92048387
156	47.81690503
157	47.74933739
158	47.61011793
159	47.39925264
160	47.26298529
161	47.16230703
162	47.03184705
163	46.92264846
164	46.8100954
165	46.73545319
166	46.61288423
167	46.49135992
168	46.42260326
169	46.33928112
170	46.27675479
171	46.18023417
172	46.06390234
173	45.97907521
174	45.87497871
175	45.77751025
176	45.69116745
177	45.61001285
178	45.54964909
179	45.45136863
180	45.34234924
181	45.29535206
182	45.22595792
183	45.12680017
184	45.06101591
185	44.92977354
186	44.84634966
187	44.77252805
188	44.69640507
189	44.63026325
190	44.56917173
191	44.49907513
192	44.44255512
193	44.38328353
194	44.33069631
195	44.12657453
196	44.02699413
197	43.90469988
198	43.85418333
199	43.66898262
200	43.55997984
201	43.48246489
202	43.41167732
203	43.35281037
204	43.25262091
205	43.13040926
206	43.08154397
207	42.98198193
208	42.9155046
209	42.85180625
210	42.59392441
211	42.39727768
212	42.28525904
213	42.23137843
214	42.14175557
215	41.91842008
216	41.85708039
217	41.80461954
218	41.75410028
219	41.65906785
220	41.60130258
221	41.54616527
222	41.43494175
223	41.29537554
224	41.14960245
225	41.07176674
226	40.87772008
227	40.78829424
228	40.73531658
229	40.68338511
230	40.59421179
231	40.48690521
232	40.44625341
233	40.33182877
234	40.2197386
235	40.179895
236	40.1106659
237	40.06248257
238	39.99103475
239	39.8477308
240	39.72437195
241	39.6792126
242	39.572696
243	39.53109298
244	39.40703074
245	39.32435475
246	39.27142458
247	39.1715361
248	39.08626645
249	39.0337781
250	38.99710308
251	38.95548021
252	38.8649812
253	38.75793658
254	38.73664146
255	38.68737904
256	38.64126775
257	38.55842217
258	38.48254035
259	38.44062184
260	38.3961862
261	38.31368938
262	38.25606242
263	38.19027455
264	38.11401898
265	38.07978262
266	38.04444267
267	37.98893677
268	37.9442335
269	37.83980249
270	37.81292307
271	37.7118174
272	37.52330497
273	37.42837006
274	37.38512922
275	37.3459707
276	37.25174067
277	37.15250342
278	37.1198051
279	37.08313017
280	36.90588577
281	36.82383464
282	36.77206827
283	36.74467537
284	36.71089235
285	36.68139268
286	36.60020025
287	36.57428002
288	36.55191482
289	36.47501339
